"","symbol","EntrezGene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000026480","Ncf2","17970",595.354494213055,1.48382811004428,0.0916027609186069,16.1985085947653,5.16649320104084e-59,1.91279475204689e-56
"ENSMUSG00000052336","Cx3cr1","13051",6015.32267972189,0.959845042088486,0.059411144998607,16.1559761575205,1.03073902873947e-58,3.75829314039625e-56
"ENSMUSG00000021091","Serpina3n","20716",4304.35095979469,2.14536540673891,0.133411159054805,16.0808542699011,3.47553092412631e-58,1.24833808491194e-55
"ENSMUSG00000038204","Asb10","117590",99.1001677257143,3.53473846652128,0.221768074353469,15.938896871546,3.40308198588244e-57,1.20434070573913e-54
"ENSMUSG00000026288","Inpp5d","16331",1672.3213778965,0.98151633168107,0.0616877827243693,15.9110327577608,5.31297901597545e-57,1.85299768144129e-54
"ENSMUSG00000015340","Cybb","13058",239.625775753786,2.29123656768192,0.145093052614884,15.7914974313999,3.56026855796229e-56,1.22396946924803e-53
"ENSMUSG00000033207","Mamdc2","71738",566.028110615313,1.80397742159925,0.114498205765409,15.7555082155203,6.2951256082986e-56,2.13369292624938e-53
"ENSMUSG00000052142","Rasal3","320484",405.245649852684,1.38137575064362,0.0877126575165798,15.7488758151298,6.99131164324747e-56,2.33674881520487e-53
"ENSMUSG00000055541","Lair1","52855",1139.85624794508,1.01196475815463,0.0643660834260536,15.7220185583796,1.06864054338218e-55,3.52285406527291e-53
"ENSMUSG00000035697","Arhgap45","70719",1062.09764818936,0.949998456322382,0.0606069855053508,15.6747353197184,2.25160984320127e-55,7.32229606441063e-53
"ENSMUSG00000022817","Itgb5","16419",5939.77873380318,0.697944990442706,0.0445523411813852,15.6657309567902,2.59429795068746e-55,8.32423735777251e-53
"ENSMUSG00000005142","Man2b1","17159",6879.58066813856,0.678073127444604,0.0441988173801626,15.3414314598593,4.04182872398158e-53,1.27982379266601e-50
"ENSMUSG00000004266","Ptpn6","15170",576.091698533683,1.65986458817949,0.109508580129951,15.1573930208004,6.7703801868646e-52,2.11596362593372e-49
"ENSMUSG00000029925","Tbxas1","21391",412.888979285973,1.49744048606288,0.098862022683833,15.1467716865534,7.95807851695164e-52,2.45527127577489e-49
"ENSMUSG00000044583","Tlr7","170743",480.046028925979,1.45920673027415,0.0965933293819329,15.1067029122104,1.46277968395381e-51,4.45592317649981e-49
"ENSMUSG00000032359","Ctsh","13036",1461.22877085334,1.09446579886946,0.0727566477562963,15.0428288358674,3.84750900461968e-51,1.15737880245216e-48
"ENSMUSG00000031995","St14","19143",272.097749711877,2.40831686903372,0.161369444939029,14.9242433717465,2.29220871373058e-50,6.81012378962055e-48
"ENSMUSG00000056737","Capg","12332",372.446244332,1.60219547992821,0.109776981865258,14.5950039134321,3.02195375060313e-48,8.86869719612978e-46
"ENSMUSG00000064267","Hvcn1","74096",210.740957359911,1.97478386602899,0.135956891678339,14.5250736586501,8.40519024275302e-48,2.43699883363676e-45
"ENSMUSG00000051504","Siglech","233274",1294.27864312399,0.819550051068528,0.056445381353757,14.5193465153899,9.13771994833136e-48,2.6178479828166e-45
"ENSMUSG00000059336","Slc14a1","108052",2071.49108696683,0.803867294634455,0.0554439269814614,14.4987438372329,1.2338727478981e-47,3.49331149154915e-45
"ENSMUSG00000020399","Havcr2","171285",436.471326776031,1.35362305755444,0.0946633409441258,14.2993374632045,2.20902559520031e-46,6.18141871494133e-44
"ENSMUSG00000021477","Ctsl","13039",8701.98213825815,0.697113294925426,0.0488903521550321,14.2587088085369,3.95708285775121e-46,1.09456550542279e-43
"ENSMUSG00000078945","Naip2","17948",299.294100326268,1.73634473147283,0.123954410641564,14.0079301937369,1.39409026071624e-44,3.8123616050155e-42
"ENSMUSG00000026786","Apbb1ip","54519",843.150297845152,1.21525554114641,0.0871020954697185,13.9520815726977,3.05555466263942e-44,8.26201381532783e-42
"ENSMUSG00000029816","Gpnmb","93695",1833.4060803619,3.28807357557722,0.236967721468544,13.8756179753101,8.90225217119743e-44,2.38036331666518e-41
"ENSMUSG00000014599","Csf1","12977",3556.076256848,0.681059891553508,0.049551572803097,13.744465675385,5.49774397546365e-43,1.45388141504981e-40
"ENSMUSG00000063286","Gm8995","668139",734.950087173348,1.35411116886101,0.0992339465552013,13.6456446192811,2.14310008673259e-42,5.60583734643694e-40
